"tab_code","表章事項","cat01_code","男女","area_code","全国，都道府県，市区町村（2000年市区町村含む）","time_code","時間軸（年次）","unit","value"
"2020_01","人口","0","総数","01000","北海道","2020000000","2020年","人","5224614"
"2020_01","人口","0","総数","02000","青森県","2020000000","2020年","人","1237984"
"2020_01","人口","0","総数","03000","岩手県","2020000000","2020年","人","1210534"
"2020_01","人口","0","総数","04000","宮城県","2020000000","2020年","人","2301996"
"2020_01","人口","0","総数","05000","秋田県","2020000000","2020年","人","959502"
"2020_01","人口","0","総数","06000","山形県","2020000000","2020年","人","1068027"
"2020_01","人口","0","総数","07000","福島県","2020000000","2020年","人","1833152"
"2020_01","人口","0","総数","08000","茨城県","2020000000","2020年","人","2867009"
"2020_01","人口","0","総数","09000","栃木県","2020000000","2020年","人","1933146"
"2020_01","人口","0","総数","10000","群馬県","2020000000","2020年","人","1939110"
"2020_01","人口","0","総数","11000","埼玉県","2020000000","2020年","人","7344765"
"2020_01","人口","0","総数","12000","千葉県","2020000000","2020年","人","6284480"
"2020_01","人口","0","総数","13000","東京都","2020000000","2020年","人","14047594"
"2020_01","人口","0","総数","14000","神奈川県","2020000000","2020年","人","9237337"
"2020_01","人口","0","総数","15000","新潟県","2020000000","2020年","人","2201272"
"2020_01","人口","0","総数","16000","富山県","2020000000","2020年","人","1034814"
"2020_01","人口","0","総数","17000","石川県","2020000000","2020年","人","1132526"
"2020_01","人口","0","総数","18000","福井県","2020000000","2020年","人","766863"
"2020_01","人口","0","総数","19000","山梨県","2020000000","2020年","人","809974"
"2020_01","人口","0","総数","20000","長野県","2020000000","2020年","人","2048011"
"2020_01","人口","0","総数","21000","岐阜県","2020000000","2020年","人","1978742"
"2020_01","人口","0","総数","22000","静岡県","2020000000","2020年","人","3633202"
"2020_01","人口","0","総数","23000","愛知県","2020000000","2020年","人","7542415"
"2020_01","人口","0","総数","24000","三重県","2020000000","2020年","人","1770254"
"2020_01","人口","0","総数","25000","滋賀県","2020000000","2020年","人","1413610"
"2020_01","人口","0","総数","26000","京都府","2020000000","2020年","人","2578087"
"2020_01","人口","0","総数","27000","大阪府","2020000000","2020年","人","8837685"
"2020_01","人口","0","総数","28000","兵庫県","2020000000","2020年","人","5465002"
"2020_01","人口","0","総数","29000","奈良県","2020000000","2020年","人","1324473"
"2020_01","人口","0","総数","30000","和歌山県","2020000000","2020年","人","922584"
"2020_01","人口","0","総数","31000","鳥取県","2020000000","2020年","人","553407"
"2020_01","人口","0","総数","32000","島根県","2020000000","2020年","人","671126"
"2020_01","人口","0","総数","33000","岡山県","2020000000","2020年","人","1888432"
"2020_01","人口","0","総数","34000","広島県","2020000000","2020年","人","2799702"
"2020_01","人口","0","総数","35000","山口県","2020000000","2020年","人","1342059"
"2020_01","人口","0","総数","36000","徳島県","2020000000","2020年","人","719559"
"2020_01","人口","0","総数","37000","香川県","2020000000","2020年","人","950244"
"2020_01","人口","0","総数","38000","愛媛県","2020000000","2020年","人","1334841"
"2020_01","人口","0","総数","39000","高知県","2020000000","2020年","人","691527"
"2020_01","人口","0","総数","40000","福岡県","2020000000","2020年","人","5135214"
"2020_01","人口","0","総数","41000","佐賀県","2020000000","2020年","人","811442"
"2020_01","人口","0","総数","42000","長崎県","2020000000","2020年","人","1312317"
"2020_01","人口","0","総数","43000","熊本県","2020000000","2020年","人","1738301"
"2020_01","人口","0","総数","44000","大分県","2020000000","2020年","人","1123852"
"2020_01","人口","0","総数","45000","宮崎県","2020000000","2020年","人","1069576"
"2020_01","人口","0","総数","46000","鹿児島県","2020000000","2020年","人","1588256"
"2020_01","人口","0","総数","47000","沖縄県","2020000000","2020年","人","1467480"
